hcc,is_chronic,model_version,model_domain
HCC178,,V22,CMS-HCC
HCC131,,V22,CMS-HCC
HCC119,Y,V23,CMS-HCC
HCC56,Y,V22,CMS-HCC
HCC167,,V22,CMS-HCC
HCC56,Y,V23,CMS-HCC
HCC98,Y,V23,CMS-HCC
HCC87,Y,V22,CMS-HCC
HCC189,Y,V22,CMS-HCC
HCC52,Y,V23,CMS-HCC
HCC199,,V23,CMS-HCC
HCC49,,V23,CMS-HCC
HCC146,Y,V23,CMS-HCC
HCC185,Y,V23,CMS-HCC
HCC24,,V22,CMS-HCC
HCC28,Y,V23,CMS-HCC
HCC73,Y,V23,CMS-HCC
HCC81,Y,V23,CMS-HCC
HCC132,Y,V23,CMS-HCC
HCC165,,V23,CMS-HCC
HCC30,,V22,CMS-HCC
HCC86,Y,V22,CMS-HCC
HCC26,Y,V23,CMS-HCC
HCC57,Y,V23,CMS-HCC
HCC126,Y,V22,CMS-HCC
HCC83,,V23,CMS-HCC
HCC101,Y,V22,CMS-HCC
HCC11,Y,V23,CMS-HCC
HCC19,Y,V23,CMS-HCC
HCC50,,V23,CMS-HCC
HCC113,Y,V23,CMS-HCC
HCC126,Y,V23,CMS-HCC
HCC142,,V23,CMS-HCC
HCC123,Y,V22,CMS-HCC
HCC158,Y,V22,CMS-HCC
HCC174,,V23,CMS-HCC
HCC77,Y,V23,CMS-HCC
HCC15,,V22,CMS-HCC
HCC97,Y,V22,CMS-HCC
HCC111,Y,V22,CMS-HCC
HCC165,,V22,CMS-HCC
HCC196,,V22,CMS-HCC
HCC200,,V22,CMS-HCC
HCC44,Y,V23,CMS-HCC
HCC84,,V23,CMS-HCC
HCC120,,V23,CMS-HCC
HCC202,,V23,CMS-HCC
HCC17,Y,V22,CMS-HCC
HCC161,Y,V22,CMS-HCC
HCC36,,V23,CMS-HCC
HCC61,Y,V23,CMS-HCC
HCC85,Y,V23,CMS-HCC
HCC158,Y,V23,CMS-HCC
HCC160,Y,V23,CMS-HCC
HCC166,,V23,CMS-HCC
HCC12,Y,V22,CMS-HCC
HCC20,Y,V22,CMS-HCC
HCC25,Y,V22,CMS-HCC
HCC66,Y,V22,CMS-HCC
HCC79,Y,V22,CMS-HCC
HCC120,,V22,CMS-HCC
HCC182,Y,V22,CMS-HCC
HCC161,Y,V23,CMS-HCC
HCC163,,V23,CMS-HCC
HCC24,,V23,CMS-HCC
HCC67,Y,V23,CMS-HCC
HCC156,,V23,CMS-HCC
HCC6,,V22,CMS-HCC
HCC88,Y,V22,CMS-HCC
HCC89,Y,V22,CMS-HCC
HCC14,,V22,CMS-HCC
HCC47,Y,V22,CMS-HCC
HCC115,,V22,CMS-HCC
HCC9,Y,V23,CMS-HCC
HCC118,,V23,CMS-HCC
HCC122,Y,V23,CMS-HCC
HCC22,Y,V23,CMS-HCC
HCC68,Y,V23,CMS-HCC
HCC196,,V23,CMS-HCC
HCC100,Y,V22,CMS-HCC
HCC172,,V22,CMS-HCC
HCC180,Y,V22,CMS-HCC
HCC54,Y,V23,CMS-HCC
HCC96,Y,V23,CMS-HCC
HCC153,,V23,CMS-HCC
HCC192,,V23,CMS-HCC
HCC83,,V22,CMS-HCC
HCC134,Y,V22,CMS-HCC
HCC194HCC195,,V22,CMS-HCC
HCC97,Y,V23,CMS-HCC
HCC191,,V23,CMS-HCC
HCC201,,V23,CMS-HCC
HCC44,Y,V22,CMS-HCC
HCC42,Y,V23,CMS-HCC
HCC159,Y,V23,CMS-HCC
HCC16,,V22,CMS-HCC
HCC76,Y,V22,CMS-HCC
HCC46,Y,V23,CMS-HCC
HCC121,,V23,CMS-HCC
HCC178,,V23,CMS-HCC
HCC15,,V23,CMS-HCC
HCC64,Y,V23,CMS-HCC
HCC70,Y,V23,CMS-HCC
HCC129,,V23,CMS-HCC
HCC51,Y,V22,CMS-HCC
HCC148,Y,V22,CMS-HCC
HCC174,,V22,CMS-HCC
HCC123,Y,V23,CMS-HCC
HCC3,,V22,CMS-HCC
HCC9,Y,V22,CMS-HCC
HCC130,Y,V22,CMS-HCC
HCC185,Y,V22,CMS-HCC
HCC5,,V23,CMS-HCC
HCC186,Y,V23,CMS-HCC
HCC105,Y,V22,CMS-HCC
HCC27,Y,V23,CMS-HCC
HCC87,Y,V23,CMS-HCC
HCC110,Y,V23,CMS-HCC
HCC197,,V23,CMS-HCC
HCC10,Y,V22,CMS-HCC
HCC60,Y,V22,CMS-HCC
HCC140,Y,V22,CMS-HCC
HCC16,,V23,CMS-HCC
HCC184,Y,V23,CMS-HCC
HCC32,,V22,CMS-HCC
HCC173,,V22,CMS-HCC
HCC177,,V22,CMS-HCC
HCC184,Y,V22,CMS-HCC
HCC58,,V23,CMS-HCC
HCC104,Y,V22,CMS-HCC
HCC137,Y,V22,CMS-HCC
HCC201,,V22,CMS-HCC
HCC131,,V23,CMS-HCC
HCC172,,V23,CMS-HCC
HCC183,,V23,CMS-HCC
HCC47,Y,V23,CMS-HCC
HCC7,,V22,CMS-HCC
HCC8,Y,V22,CMS-HCC
HCC34,Y,V23,CMS-HCC
HCC78,Y,V23,CMS-HCC
HCC111,Y,V23,CMS-HCC
HCC128,,V23,CMS-HCC
HCC4,,V22,CMS-HCC
HCC61,Y,V22,CMS-HCC
HCC82,Y,V22,CMS-HCC
HCC176,,V22,CMS-HCC
HCC167,,V23,CMS-HCC
HCC151,,V22,CMS-HCC
HCC155,,V22,CMS-HCC
HCC1,Y,V23,CMS-HCC
HCC3,,V23,CMS-HCC
HCC37,,V23,CMS-HCC
HCC133,Y,V23,CMS-HCC
HCC132,Y,V22,CMS-HCC
HCC60,Y,V23,CMS-HCC
HCC72,Y,V23,CMS-HCC
HCC148,Y,V23,CMS-HCC
HCC27,Y,V22,CMS-HCC
HCC34,Y,V22,CMS-HCC
HCC50,,V22,CMS-HCC
HCC58,Y,V22,CMS-HCC
HCC75,Y,V22,CMS-HCC
HCC96,Y,V22,CMS-HCC
HCC147,Y,V22,CMS-HCC
HCC164,,V22,CMS-HCC
HCC130,Y,V23,CMS-HCC
HCC144,,V23,CMS-HCC
HCC136,Y,V22,CMS-HCC
HCC30,,V23,CMS-HCC
HCC104,Y,V23,CMS-HCC
HCC107,,V23,CMS-HCC
HCC69,Y,V22,CMS-HCC
HCC38,,V23,CMS-HCC
HCC79,Y,V23,CMS-HCC
HCC190,,V23,CMS-HCC
HCC38,,V22,CMS-HCC
HCC40,Y,V22,CMS-HCC
HCC71,Y,V22,CMS-HCC
HCC23,Y,V23,CMS-HCC
HCC124,Y,V23,CMS-HCC
HCC169,,V23,CMS-HCC
HCC52,Y,V22,CMS-HCC
HCC85,Y,V22,CMS-HCC
HCC108,Y,V22,CMS-HCC
HCC156,,V22,CMS-HCC
HCC187,Y,V22,CMS-HCC
HCC190,,V22,CMS-HCC
HCC154,,V23,CMS-HCC
HCC109,,V22,CMS-HCC
HCC49,,V22,CMS-HCC
