diagnosis_code,cc,model_name
C4A71,12,CMS-HCC ESRD Model V21
C4A72,12,CMS-HCC ESRD Model V21
C4A8,12,CMS-HCC ESRD Model V21
C4A9,12,CMS-HCC ESRD Model V21
C50011,12,CMS-HCC ESRD Model V21
C50012,12,CMS-HCC ESRD Model V21
C50019,12,CMS-HCC ESRD Model V21
C50021,12,CMS-HCC ESRD Model V21
C50022,12,CMS-HCC ESRD Model V21
C50029,12,CMS-HCC ESRD Model V21
C50111,12,CMS-HCC ESRD Model V21
C50112,12,CMS-HCC ESRD Model V21
C50119,12,CMS-HCC ESRD Model V21
C50121,12,CMS-HCC ESRD Model V21
C50122,12,CMS-HCC ESRD Model V21
C50129,12,CMS-HCC ESRD Model V21
C50211,12,CMS-HCC ESRD Model V21
C50212,12,CMS-HCC ESRD Model V21
C50219,12,CMS-HCC ESRD Model V21
C50221,12,CMS-HCC ESRD Model V21
C50222,12,CMS-HCC ESRD Model V21
C50229,12,CMS-HCC ESRD Model V21
C50311,12,CMS-HCC ESRD Model V21
C50312,12,CMS-HCC ESRD Model V21
C50319,12,CMS-HCC ESRD Model V21
C50321,12,CMS-HCC ESRD Model V21
C50322,12,CMS-HCC ESRD Model V21
C50329,12,CMS-HCC ESRD Model V21
C50411,12,CMS-HCC ESRD Model V21
C50412,12,CMS-HCC ESRD Model V21
C50419,12,CMS-HCC ESRD Model V21
C50421,12,CMS-HCC ESRD Model V21
C50422,12,CMS-HCC ESRD Model V21
C50429,12,CMS-HCC ESRD Model V21
C50511,12,CMS-HCC ESRD Model V21
C50512,12,CMS-HCC ESRD Model V21
C50519,12,CMS-HCC ESRD Model V21
C50521,12,CMS-HCC ESRD Model V21
C50522,12,CMS-HCC ESRD Model V21
C50529,12,CMS-HCC ESRD Model V21
C50611,12,CMS-HCC ESRD Model V21
C50612,12,CMS-HCC ESRD Model V21
C50619,12,CMS-HCC ESRD Model V21
C50621,12,CMS-HCC ESRD Model V21
C50622,12,CMS-HCC ESRD Model V21
C50629,12,CMS-HCC ESRD Model V21
C50811,12,CMS-HCC ESRD Model V21
C50812,12,CMS-HCC ESRD Model V21
C50819,12,CMS-HCC ESRD Model V21
C50821,12,CMS-HCC ESRD Model V21
C50822,12,CMS-HCC ESRD Model V21
C50829,12,CMS-HCC ESRD Model V21
C50911,12,CMS-HCC ESRD Model V21
C50912,12,CMS-HCC ESRD Model V21
C50919,12,CMS-HCC ESRD Model V21
C50921,12,CMS-HCC ESRD Model V21
C50922,12,CMS-HCC ESRD Model V21
C50929,12,CMS-HCC ESRD Model V21
C510,11,CMS-HCC ESRD Model V21
C511,11,CMS-HCC ESRD Model V21
C512,11,CMS-HCC ESRD Model V21
C518,11,CMS-HCC ESRD Model V21
C519,11,CMS-HCC ESRD Model V21
C52,11,CMS-HCC ESRD Model V21
C530,11,CMS-HCC ESRD Model V21
C531,11,CMS-HCC ESRD Model V21
C538,11,CMS-HCC ESRD Model V21
C539,11,CMS-HCC ESRD Model V21
C540,12,CMS-HCC ESRD Model V21
C541,12,CMS-HCC ESRD Model V21
C542,12,CMS-HCC ESRD Model V21
C543,12,CMS-HCC ESRD Model V21
C548,12,CMS-HCC ESRD Model V21
C549,12,CMS-HCC ESRD Model V21
C55,12,CMS-HCC ESRD Model V21
C561,10,CMS-HCC ESRD Model V21
C562,10,CMS-HCC ESRD Model V21
C563,10,CMS-HCC ESRD Model V21
C569,10,CMS-HCC ESRD Model V21
C5700,10,CMS-HCC ESRD Model V21
C5701,10,CMS-HCC ESRD Model V21
C5702,10,CMS-HCC ESRD Model V21
C5710,10,CMS-HCC ESRD Model V21
C5711,10,CMS-HCC ESRD Model V21
C5712,10,CMS-HCC ESRD Model V21
C5720,10,CMS-HCC ESRD Model V21
C5721,10,CMS-HCC ESRD Model V21
C5722,10,CMS-HCC ESRD Model V21
C573,10,CMS-HCC ESRD Model V21
C574,10,CMS-HCC ESRD Model V21
C577,11,CMS-HCC ESRD Model V21
C578,11,CMS-HCC ESRD Model V21
C579,11,CMS-HCC ESRD Model V21
C58,10,CMS-HCC ESRD Model V21
C600,12,CMS-HCC ESRD Model V21
C601,12,CMS-HCC ESRD Model V21
C602,12,CMS-HCC ESRD Model V21
C608,12,CMS-HCC ESRD Model V21
C609,12,CMS-HCC ESRD Model V21
C61,12,CMS-HCC ESRD Model V21
C6200,12,CMS-HCC ESRD Model V21
C6201,12,CMS-HCC ESRD Model V21
C6202,12,CMS-HCC ESRD Model V21
C6210,12,CMS-HCC ESRD Model V21
C6211,12,CMS-HCC ESRD Model V21
C6212,12,CMS-HCC ESRD Model V21
C6290,12,CMS-HCC ESRD Model V21
C6291,12,CMS-HCC ESRD Model V21
C6292,12,CMS-HCC ESRD Model V21
C6300,12,CMS-HCC ESRD Model V21
C6301,12,CMS-HCC ESRD Model V21
C6302,12,CMS-HCC ESRD Model V21
C6310,12,CMS-HCC ESRD Model V21
C6311,12,CMS-HCC ESRD Model V21
C6312,12,CMS-HCC ESRD Model V21
C632,12,CMS-HCC ESRD Model V21
C637,12,CMS-HCC ESRD Model V21
C638,12,CMS-HCC ESRD Model V21
C639,12,CMS-HCC ESRD Model V21
C641,11,CMS-HCC ESRD Model V21
C642,11,CMS-HCC ESRD Model V21
C649,11,CMS-HCC ESRD Model V21
C651,11,CMS-HCC ESRD Model V21
C652,11,CMS-HCC ESRD Model V21
C659,11,CMS-HCC ESRD Model V21
C661,11,CMS-HCC ESRD Model V21
C662,11,CMS-HCC ESRD Model V21
C669,11,CMS-HCC ESRD Model V21
C670,11,CMS-HCC ESRD Model V21
C671,11,CMS-HCC ESRD Model V21
C672,11,CMS-HCC ESRD Model V21
C673,11,CMS-HCC ESRD Model V21
C674,11,CMS-HCC ESRD Model V21
C675,11,CMS-HCC ESRD Model V21
C676,11,CMS-HCC ESRD Model V21
C677,11,CMS-HCC ESRD Model V21
C678,11,CMS-HCC ESRD Model V21
C679,11,CMS-HCC ESRD Model V21
C680,11,CMS-HCC ESRD Model V21
C681,11,CMS-HCC ESRD Model V21
C688,11,CMS-HCC ESRD Model V21
C689,11,CMS-HCC ESRD Model V21
C6900,12,CMS-HCC ESRD Model V21
C6901,12,CMS-HCC ESRD Model V21
C6902,12,CMS-HCC ESRD Model V21
C6910,12,CMS-HCC ESRD Model V21
C6911,12,CMS-HCC ESRD Model V21
C6912,12,CMS-HCC ESRD Model V21
C6920,12,CMS-HCC ESRD Model V21
C6921,12,CMS-HCC ESRD Model V21
C6922,12,CMS-HCC ESRD Model V21
C6930,12,CMS-HCC ESRD Model V21
C6931,12,CMS-HCC ESRD Model V21
C6932,12,CMS-HCC ESRD Model V21
C6940,12,CMS-HCC ESRD Model V21
C6941,12,CMS-HCC ESRD Model V21
C6942,12,CMS-HCC ESRD Model V21
C6950,12,CMS-HCC ESRD Model V21
C6951,12,CMS-HCC ESRD Model V21
C6952,12,CMS-HCC ESRD Model V21
C6960,12,CMS-HCC ESRD Model V21
C6961,12,CMS-HCC ESRD Model V21
C6962,12,CMS-HCC ESRD Model V21
C6980,12,CMS-HCC ESRD Model V21
C6981,12,CMS-HCC ESRD Model V21
C6982,12,CMS-HCC ESRD Model V21
C6990,12,CMS-HCC ESRD Model V21
C6991,12,CMS-HCC ESRD Model V21
C6992,12,CMS-HCC ESRD Model V21
C700,10,CMS-HCC ESRD Model V21
C701,10,CMS-HCC ESRD Model V21
C709,10,CMS-HCC ESRD Model V21
C710,10,CMS-HCC ESRD Model V21
C711,10,CMS-HCC ESRD Model V21
C712,10,CMS-HCC ESRD Model V21
C713,10,CMS-HCC ESRD Model V21
C714,10,CMS-HCC ESRD Model V21
C715,10,CMS-HCC ESRD Model V21
C716,10,CMS-HCC ESRD Model V21
C717,10,CMS-HCC ESRD Model V21
C718,10,CMS-HCC ESRD Model V21
C719,10,CMS-HCC ESRD Model V21
C720,10,CMS-HCC ESRD Model V21
C721,10,CMS-HCC ESRD Model V21
C7220,10,CMS-HCC ESRD Model V21
C7221,10,CMS-HCC ESRD Model V21
C7222,10,CMS-HCC ESRD Model V21
C7230,10,CMS-HCC ESRD Model V21
C7231,10,CMS-HCC ESRD Model V21
C7232,10,CMS-HCC ESRD Model V21
C7240,10,CMS-HCC ESRD Model V21
C7241,10,CMS-HCC ESRD Model V21
C7242,10,CMS-HCC ESRD Model V21
C7250,10,CMS-HCC ESRD Model V21
C7259,10,CMS-HCC ESRD Model V21
C729,10,CMS-HCC ESRD Model V21
C73,12,CMS-HCC ESRD Model V21
C7400,10,CMS-HCC ESRD Model V21
C7401,10,CMS-HCC ESRD Model V21
C7402,10,CMS-HCC ESRD Model V21
C7410,10,CMS-HCC ESRD Model V21
C7411,10,CMS-HCC ESRD Model V21
C7412,10,CMS-HCC ESRD Model V21
C7490,10,CMS-HCC ESRD Model V21
C7491,10,CMS-HCC ESRD Model V21
C7492,10,CMS-HCC ESRD Model V21
C750,12,CMS-HCC ESRD Model V21
C751,10,CMS-HCC ESRD Model V21
C752,10,CMS-HCC ESRD Model V21
C753,10,CMS-HCC ESRD Model V21
C754,12,CMS-HCC ESRD Model V21
C755,12,CMS-HCC ESRD Model V21
C758,12,CMS-HCC ESRD Model V21
C759,12,CMS-HCC ESRD Model V21
C760,12,CMS-HCC ESRD Model V21
C761,12,CMS-HCC ESRD Model V21
C762,12,CMS-HCC ESRD Model V21
C763,12,CMS-HCC ESRD Model V21
C7640,12,CMS-HCC ESRD Model V21
C7641,12,CMS-HCC ESRD Model V21
C7642,12,CMS-HCC ESRD Model V21
C7650,12,CMS-HCC ESRD Model V21
C7651,12,CMS-HCC ESRD Model V21
C7652,12,CMS-HCC ESRD Model V21
C768,12,CMS-HCC ESRD Model V21
C770,8,CMS-HCC ESRD Model V21
C771,8,CMS-HCC ESRD Model V21
C772,8,CMS-HCC ESRD Model V21
C773,10,CMS-HCC ESRD Model V21
C774,8,CMS-HCC ESRD Model V21
C775,8,CMS-HCC ESRD Model V21
C778,8,CMS-HCC ESRD Model V21
C779,10,CMS-HCC ESRD Model V21
C7800,8,CMS-HCC ESRD Model V21
